Title,Address,City,State,Zipcode,Type,Notes,Facebook Group,lon,lat,,Surface,Spec Tyre
Tandem RC,"2909 S Dobson Rd, Unit 19",Mesa,Arizona,85202,Drift Track + Shop,,,-111.87584,33.36252,"-111.87584,33.36252",Undefined,Undefined
Bubble Milk Battle Grounds,Invite Only,Phoenix,Arizona,85001,Drift Track,,,-112.076617,33.448253,"-112.076617,33.448253",Undefined,Undefined
GGT RC,10430 Stanford Ave,Garden Grove,California,92840,Drift Track + Shop,,,-117.9507315,33.7772478,"-117.9507315,33.7772478",P-Tile,Yokomo DRCA
AMain Hobbies,2860 Fair St,Chico,California,95928,Drift Track + Shop,,,-121.8001359,39.7106915,"-121.8001359,39.7106915",Undefined,Undefined
Driftwell,"707 N Fulton St, STE D",Fresno,California,93728,Drift Track + Shop,,,-119.800677,36.752555,"-119.800677,36.752555",Undefined,Undefined
Skyhunter Hobby,"2330 Mall Loop Rd, STE 111",Lancaster,California,93534,Drift Track + Shop,,,-118.173316,34.69956,"-118.173316,34.69956",Undefined,Undefined
SpunOutDriftClub,6570 Church St,Morgan Hill,California,95037,Drift Track,,,-121.56631,36.99348,"-121.56631,36.99348",J-Tile,Undefined
Pittstop,270 E 10th St,Pittsburg,California,94565,Drift Track,,,-121.88359,38.0275,"-121.88359,38.02750",P-Tile,Undefined
Hardline Drift,"6555 Hunter Dr, STE 8",Rohnert Park,California,94928,Drift Track,,,"-122.70935, 38.34534",,"-122.70935, 38.34534,",Undefined,Undefined
Rolling Garage,"7917 Fruitridge Rd, STE a2",Sacramento,California,95820,Drift Track + Shop,,,-113.39201,39.64127,"-113.39201,39.64127",Undefined,Undefined
Slide Garage,171 S E St,San Bernardino,California,92401,Drift Track + Shop,,,-117.29374,34.09883,"-117.29374,34.09883",Undefined,Undefined
Vertex RC USA,5595 Magnatron Blvd T,San Diego,California,92111,Drift Track + Shop,,,-117.14045,32.83835,"-117.14045,32.83835",P-Tile,Yokomo DRCA
AB Drift House,2975 San Bruno Ave,San Francisco,California,94134,Drift Track,,,-122.40196,37.72447,"-122.40196,37.72447",Undefined,Undefined
Sheldon's Hobbies,2130 Trade Zone Blvd,San Jose,California,95131,Drift Track + Shop,,,-121.90075,37.30757,"-121.90075,37.30757",P-Tile,Yokomo DRCA
Super-G R/C Drift Arena,"1376 Maine Ave, B",Baldwin Park,California,91706,Drift Track + Shop,,,-117.97847,34.0677,"-117.97847,34.06770",J-Tile,DS LF-3
Certified Drift RC,"6321 Washington St, Unit A",Denver,Colorado,80216,Drift Track + Shop,,,-104.97852,39.81168,"-104.97852,39.81168",J-Tile,DS LF-3
Opposition RC,13745 Woodlake Rd,Elbert,Colorado,80106,Drift Track,,,-104.57369,39.06723,"-104.57369,39.06723",J-Tile,DS LF-3
Scale Science,"2255 S Wadsworth Blvd, STE G3",Lakewood,Colorado,80227,Drift Track + Shop,,,-105.08249,39.67525,"-105.08249,39.67525",Polished Concrete,DS LF-3
First State Hobbies,200A Peoples Plaza,Newark,Delaware,19702,Drift Track + Shop,,,-75.74615,39.60277,"-75.74615,39.60277",P-tile,Undefined
Dori-Lounge,606 Savage Ct,Longwood,Florida,32750,Drift Track,,,-81.36038,28.69646,"-81.36038,28.69646",Undefined,Undefined
Drift RC Miami,1525 SW 107th Ave,Miami,Florida,33174,Drift Track,,,-80.3666,25.75544,"-80.36660,25.75544",Undefined,Undefined
RC Playground Miami,1549 SW 107th Ave,Miami,Florida,33174,Drift Track + Shop,,,-80.36656,25.75505,"-80.36656,25.75505",Undefined,Undefined
Hashiriya RC,3038 N John Pkwy,Orlando,Florida,32746,Drift Track,,,-81.41759,28.57967,"-81.41759,28.57967",Polished Concrete,Yokomo DRCA
Seven Tails Circuit,"1465 Oviedo Mall Blvd, FL1",Orlando,Florida,32765,Drift Track,,,-81.23557,28.66261,"-81.23557,28.66261",Undefined,Undefined
Street Break Circuit,13791 49th St N,Tampa,Florida,33761,Drift Track + Shop,,,-82.69997,27.89739,"-82.69997,27.89739",Polished Concrete,Undefined
Creative Drift Lab,Drift Meet,Atlanta,Georgia,30303,Drift Meet,,,"-84.39014, 33.74854",,"-84.39014, 33.74854,",Undefined,Undefined
Peachtree Drift Lounge,110 Technology Pkwy,Peachtree Corners,Georgia,30092,Drift Track,,,-84.21719,33.96633,"-84.21719,33.96633",Undefined,Undefined
Altitude Raceway,Drift Meet,Duluth,Georgia,30096,Drift Meet,,,-84.14681,34.00188,"-84.14681,34.00188",Undefined,Undefined
Team Saiko,Drift Meet,Aina KOA Park,Hawaii,96701,Drift Group + Meet,,,-157.77893,21.281177,"-157.77893,21.281177",Undefined,Undefined
Third Bench,Drift Meet,Oahu,Hawaii,96795,Drift Group + Meet,,,-157.994103,21.437419,"-157.994103,21.437419",Undefined,Undefined
Twisted Lanes Drift Circuit,"10524 Product Dr, 2A",Machesney Park,Illinois,61115,Drift Track,,,-89.03596,42.37226,"-89.03596,42.37226",Undefined,Undefined
Explicit Angles RC Drift Track,7629 S State Rd 9,Columbia City,Indiana,46725,Drift Track + Shop,,,-85.47009,41.05395,"-85.47009,41.05395",Polished Concrete,Undefined
Zero Traction RC,"500 Polk St, STE 9",Greenwood,Indiana,46143,Drift Track,,,-86.09842,39.60959,"-86.09842,39.60959",P-Tile,Yokomo DRCA
Lateral Grip,414 E Main St,Jackson,Missouri,63755,Drift Track,,,-89.66379,37.38254,"-89.66379,37.38254",Undefined,Undefined
417 Race Place,2845 W Chestnut Expy,Springfield,Missouri,65807,Drift Track + Shop,,,-93.33456,37.21279,"-93.33456,37.21279",Carpet,Undefined
Victory Hobbies,1013 Galvin Rd S,Bellevue,Nebraska,68123,Drift Track + Shop,,,-95.91582,41.15067,"-95.91582,41.15067",P-Tile,DS LF-5T
R3 Hobby Arena,"3395 W Cheyenne Ave, Ste 109",Las Vegas,Nevada,89032,Drift Track + Shop,,,-115.18447,36.21664,"-115.18447,36.21664",P-Tile,Undefined
RC Car World,"2305 Garry Rd, Ste A",Cinnaminson,New Jersey,08077,Drift Track + Shop,,,-74.98467,40.01307,"-74.98467,40.01307",P-Tile,Undefined
The Drift House,140 Seventh Ave,Little Egg Harbor,New Jersey,08050,Drift Track + Shop,,,-74.34368,39.61632,"-74.34368,39.61632",P-Tile,Undefined
Prison City Drift 315,"Fingerlakes Mall, 1579 Clark Street Rd",Auburn,New York,13021,Drift Track + Shop,,,-76.61131,42.93049,"-76.61131,42.93049",Undefined,Undefined
DriftSet RC,509 Central Ave,Massapequa,New York,11758,Drift Track + Shop,,,-73.47181,40.67821,"-73.47181,40.67821",P-Tile,Undefined
ROC Drift,"1250 NY 104, STE 20",Ontario,New York,14519,Drift Track + Shop,,,-77.31912,43.22651,"-77.31912,43.22651",Polished Concrete,Undefined
Carousel Drift Circuit @ Underground RC,9009 Destiny USA Dr,Syracuse,New York,13204,Drift Track,,,-76.17085,43.06756,"-76.17085,43.06756",Undefined,Undefined
The Shop,6635 Denver Industrial Park Rd,Denver,North Carolina,28037,Drift Track + Shop,,,-81.03572,35.5363,"-81.03572,35.53630",Undefined,Undefined
Kaj House,Invite Only,Walkertown,North Carolina,,Drift Track," Invite Only, Temporarily Closed",,-80.1527,36.1773,"-80.15270,36.17730",Undefined,Undefined
Radio.FBS - Flip Drift Therapy,"3246 US 421, STE A",Wilmington,North Carolina,28401,Drift Track, Friday Nights only,,-77.96624,34.28763,"-77.96624,34.28763",Polished Concrete,Undefined
EN Hobbies,5751 Chantry Dr,Columbus,Ohio,43232,Drift Track + Shop,,,-82.83768,39.92252,"-82.83768,39.92252",Undefined,Undefined
Lunar Drift @ Hobbytown,"7900 Plaza Blvd, #102",Mentor,Ohio,44060,Drift Track + Shop,,,-81.36707,41.65654,"-81.36707,41.65654",P-Tile,Undefined
Triple Crown RC Hobbies,2825 Epperly Dr,Del City,Oklahoma,73115,Drift Track + Shop,,,-97.43808,35.43679,"-97.43808,35.43679",P-Tile,Undefined
HobbyTown,10317 SE 82nd Ave,Happy Valley,Oregon,97086,Drift Track + Shop,,,-122.5801,45.44842,"-122.58010,45.44842",P-Tile,Undefined
Twisted Steel,"780 NW Garden Valley Blvd, STE 70",Roseburg,Oregon,97471,Drift Track + Shop,,,-123.36486,43.22968,"-123.36486,43.22968",P-Tile,Undefined
Drift PDX,4834 N Interstate Ave,Portland,Oregon,97217,Drift Track,,,-122.68194,45.55826,"-122.68194,45.55826",Undefined,Undefined
Show Me Your Hobbies,530 E 8th Ave,Munhall,Pennsylvania,15120,Drift Track + Shop,,,-79.90355,40.40889,"-79.90355,40.40889",Polished Concrete,Undefined
412RC Inc,"3109 W Liberty Ave, STE 200",Pittsburgh,Pennsylvania,15216,Drift Track + Shop,,,-80.0391,40.39108,"-80.03910,40.39108",Polished Concrete,Undefined
Cookeville Raceway & Hobbies,1210 N Willow Ave,Cookeville,Tennessee,38501,Drift Track + Shop,,,-85.51102,36.1809,"-85.51102,36.18090",Undefined,Undefined
Holcomb Hobbies,"2615 W Cardinal, STE B",Beaumont,Texas,77705,Drift Track + Shop,,,-94.1114,30.0369,"-94.1114,30.03690",Undefined,Undefined
Garage RC,"4001 E 29th St, STE 82",Bryan,Texas,77802,Drift Track + Shop,,,-96.33165,30.64641,"-96.33165,30.64641",Undefined,Undefined
DARC Circuit,"10420 Plano Rd, STE 105",Dallas,Texas,75238,Drift Track + Shop,,,-96.69977,32.89101,"-96.69977,32.89101",Polished Concrete,Undefined
Houston RC,1738 W Tidwell Rd,Houston,Texas,77091,Drift Track + Shop,,,-95.43798,29.84766,"-95.43798,29.84766",Undefined,Undefined
Ultimate Indoor RC,420 Anders Ln,Kemah,Texas,77565,Drift Track,,,-95.02832,29.5303,"-95.02832,29.53030",Undefined,Undefined
The Hobby Shop,900 Lacy Dr,Leander,Texas,78641,Drift Track + Shop,,,-97.84946,30.56728,"-97.84946,30.56728",J-Tile,Undefined
Low Life Speedway,4700 Andrews Hwy,Odessa,Texas,79762,Drift Track + Shop,,,-102.38601,31.88844,"-102.38601,31.88844",Undefined,Undefined
Radio Control Headquarters,"14910 Nacogdoches Rd, STE 110",San Antonio,Texas,78247,Drift Track + Shop,,,-98.3748,29.5759,"-98.37480,29.57590",P-Tile,Undefined
Shaka Hobbies,1204B TX-110N,Whitehouse,Texas,75791,Drift Track + Shop,,,-95.23402,32.2474,"-95.23402,32.24740",Undefined,Undefined
TCRC Drift Circuit,"2465 N Main St, STE 3C",Sunset,Utah,84776,Drift Track + Shop,,,-112.02685,41.15082,"-112.02685,41.15082",P-Tile,Yokomo DRCA
Adrenaline RC,14014D Sullyfield Circle,Chantilly,Virginia,20151,Drift Track + Shop,,,-77.4335,38.8935,"-77.43350,38.89350",Polished Concrete,Undefined
The Drift Lab @ Coastal RC,2425 Bainbridge Blvd,Chesapeake,Virginia,23324,Drift Track + Shop,,,-76.27621,36.80064,"-76.27621,36.80064",P-Tile,Undefined
Get'n Slidewayz,459 Oriana Rd,Newport News,Virginia,23608,Drift Track + Shop,,,-76.53311,37.13334,"-76.53311,37.13334",Polished Concrete,Undefined
RVA Drift Garage @ HobbyTown,5007 Victory Blvd,Richmond,Virginia,23693,Drift Track + Shop,,,-76.19586,37.91896,"-76.19586,37.91896",P-Tile,Undefined
Hobbytown - Virginia Beach,4000 Virginia Beach Blvd,Virginia Beach,Virginia,23462,Drift Track + Shop,,,-76.1138,36.84317,"-76.11380,36.84317",P-Tile,Undefined
THK Lab,Invite Only,Virginia Beach,Virginia,23462,Drift Track,Invite Only,,-76.05735,36.75031,"-76.05735,36.75031",Polished Concrete,Undefined
Scaletopia @ HobbyTown,9900 W Broad St,Yorktown,Virginia,23693,Drift Track + Shop,,,-77.33843,38.19578,"-77.33843,38.19578",P-Tile,Yokomo DRCA
420 Comp House,Invite Only,Yorktown,Virginia,23693,Drift Track,,,-76.52948,37.32721,"-76.52948,37.32721",Polished Concrete,Undefined
Apple RCore Lounge,Invite Only,Wenatchee,Washington,98801,Drift Track, Invite Only,,-120.31218,47.42105,"-120.31218,47.42105",Undefined,Undefined
Kitsap Hobbies,"160 Bethel Ave, #100",Bremerton,Washington,98310,Drift Track + Shop,,,-122.62749,47.54103,"-122.62749,47.54103",Undefined,Undefined
The Emporium,921 Mercer St,Princeton,West Virginia,24740,Drift Track + Shop,,,-81.09564,37.36942,"-81.09564,37.36942",P-Tile,Yokomo DRCA
Casa Drift,4629 S 108th St,Milwaukee,Wisconsin,53228,Drift Track,,,-88.04845,42.96083,"-88.04845,42.96083",Undefined,Undefined
Mischief Factory,Invite Only,West Alis,Wisconsin,53214,Drift Track,Invite Only,,-88.00657,43.01639,"-88.00657,43.01639",Undefined,Undefined